"EN_source"	"ZGH_target"
"1"	"yan; yiwn/yat, yiwt"
"2"	"sin/snat"
"3"	"krad/kradt"
"4"	"rbعa"
"5"	"xmsa"
"6"	"sţa"
"7"	"sbع"
"8"	"tmniya"
"9"	"tsعa"
"9"	"tsعud"
"10"	".عšra"
"11"	"Hdaš"
"12"	"tnaš"
"13"	"tltaš"
"14"	"rbعtaš"
"15"	"xmstaš"
"16"	"staš"
"17"	"sbعtaš"
"18"	"tmntaš"
"19"	"tsعtaš"
"20"	".عšrin"
"30"	"tlatin"
"40"	"rbعin"
"50"	"xmsin"
"60"	"stin"
"70"	"sbعin"
"80"	"tmanin"
"90"	"tsعin"
"100"	"miya"
"1,000"	"alf"
"1,000,000"	"miliun"
"- less"	"war-/tar-"
"""I will never do that"""	"Haša"
"""take your time"""	"s lqd"
"10,000 Dhs"	"milyun"
"10,000 Dhs"	"minyul"
"a long time ago"	"tizwiri; tizwuri; wahali aya"
"a lot"	"aHnuš; bahra; bzzaf; šigan"
"a lot (number)"	".عtan; gudin"
"a person or place (indicates movement)"	"Zars"
"a while ago"	"šHal aya"
"abnormal (person)"	"nHya"
"abortion"	"l-ijhaď"
"about"	"ġif; xf"
"above"	"afla; nig"
"abrasion (esp. on a mule)"	"anjj""im"
"abscess"	"taHbubt"
"accent"	"Ils"
"accident"	"Laksida"
"accounting"	"lHisabat; lHsab"
"across from"	"imqabal d; agumaţ n; mlul n"
"Adams apple"	"tablHuHt"
"Adams apple"	"tatffaHat n Adam"
"add"	"Zaid"
"address"	"Ladrisa"
"adoption"	"Lxiria"
"advertisement"	"Lišhar"
"Africa"	"Afriqia"
"after"	"dart; ar asra; mnbعd"
"afternoon"	"Tadgwat"
"afternoon snack"	"allas; kaskrot"
"again"	"Diġ"
"against"	"ď'dd"
"ago"	"Aya"
"agreement (n)"	"Alitifaq"
"agriculture"	"tafllaHt; lfilaHa**"
"air"	"rriH; unfus; lhawa**"
"air conditioner"	"Klimatizur"
"airplane*"	"Tiara"
"alarm (clock)"	"Rrafay"
"alcoholic (person)"	"Askayri"
"alergy"	"l-Hassassiya"
"alfalfa"	"lfşşat; lfşşa**"
"alfalfa, dried"	"Lqorď"
"all"	"Kullu"
"all day"	"as kullut; mayl was"
"all of them"	"Kullutn"
"all the time*"	"dima"
"Allah"	"rbbi"
"Allah (figurative speech)"	"bu itran"
"alligator"	"ttimsaH"
"almond"	"lluz"
"almost"	".عlaHal; .عlaiyn; druġ"
"alone"	"i iġf^; i ixf^"
"alphabet"	"lhja; lHuruf**"
"alphabet, Tamazight"	"tifinaġ"
"already"	"yad"
"also"	"awd"
"although"	"mkarr"
"always"	"abda; dima**"
"ambassador*"	"ssafir"
"amulet"	"lHarz"
"and"	"d"
"and (time)"	"u"
"angel hair pasta with cinnamon"	"ssfa"
"angel(s)"	"lmalayka"
"animal pen"	"arHbi n lbhim"
"animal skin"	"ahidur; tahidurt"
"animals (domestic)"	"lbHim"
"animals (wild)"	"luHš; luHuš"
"ankle"	"tawlzit"
"anklet"	"azvi; tazvit; dblij**"
"another"	"wayd/tayd; wyat/tyat; yadnin; yadnn"
"ant"	"awtuf"
"ants"	"iwtfan; tyudfin; yudfan"
"anus"	"axna"
"appearance"	"lmndr"
"appendix*"	"lmşrana zzayda"
"apple, Adams"	"tatffaHat n Adam"
"apples"	"talaHalut; tfaH**"
"appointment"	"rendezvous"
"appropriate"	"ilaq"
"approximately"	"ġor"
"apricot"	"lbarquq; mšmaš"
"April"	"abril; šar rbعa"
"arm"	"afus; iġil"
"armpit"	"daw tayt"
"arms"	"ifasn"
"arrow"	"Lafliš"
"art"	"Lfnn"
"artist"	"Lfnnan"
"ash"	"iġd; iġid"
"ashes"	"Irġd"
"ashtray"	"Tffaya"
"Asia"	"Asya"
"asleep, part of body"	"tumzi tušnt g +body part"
"association"	"Ljamعiya"
"at"	"I"
"at (location)"	"G"
"at the end"	"g tiyira"
"Atlantic Ocean"	"l-muHit l-atlasi"
"auction (n)"	"Tadllalt"
"August"	"ġušt; šar tmniya"
"aunt (maternal)"	"Xalti"
"aunt (paternal)"	".عtti"
"author"	"Lkatib"
"authorities"	"Lmxazn"
"autumn"	"Lxrif"
"available"	"Mujud"
"average*"	"Lmuعdal"
"ax"	"ašaqur; aklzim"
"baby"	"lعil; tadrant; taslmia"
"baby (when talking to another baby)"	"Mumu"
"bachelor"	"Azufri"
"back (animal/person)"	"Tadawt"
"back (of location)"	"ďart; tiġurdin n"
"back, lower (animal/person)"	"tzlaft n tadawt"
"bag, canvas"	"lxnşt; tعadilt"
"bag, plastic"	"Mika"
"baghette"	"Kumir"
"baking powder"	"taxmirt n lgatu"
"bald"	"Amjjuţ"
"ball"	"Takurt"
"balloon"	"Tibiwwlt"
"balloons"	"Tibiwwal"
"ballot"	"tawriqt n lintixab"
"bamboo"	"Aġanim"
"bamboo on rooves"	"Ašfaf"
"bandage"	"Fasma"
"bandaid"	"aHrruq; axrok"
"bangles"	"dama"
"bangs (hair)"	"tawnza"
"bank"	"lbanka"
"banyo, metal"	"ššfna"
"barbary macaque"	"zعtut"
"barber"	"ahjjam; ahssan"
"barbers"	"ihadjmn"
"barefoot (adj.)"	"s lHfa"
"bark (tree)"	"ifršin; lfrši; tifršt"
"barley"	"timzin"
"barn"	"aHanu n lbHim"
"bars, iron"	"talHdidin"
"basil"	"lHbaq"
"basin, for washing hands"	"lmġssl"
"basket"	"limšib; taqfift; taryut; taslt; tazyawt"
"basket (for bread)"	"lmkbb; iswi; tiswit"
"basket (for mule)"	"ašuwari"
"basket, palm"	"tazgawt"
"basket, wicker"	"axsis"
"bat"	"faHrtu; frţettu; frţiţu; farţu"
"battery"	"lHjrat"
"battery, car"	"lbatri"
"be careful"	"Hďu iġf*"
"beach sand"	"alus n lbHar"
"beads"	"aqayn; izllaiyn"
"beak"	"aġnbu; aġnbub"
"beams, ceiling"	"tigjda; tiyjda"
"beans"	"llubya"
"bear (n)*"	"ddub"
"beard"	"alHyan; amar; talHyant; tamart"
"bearded man"	"butamart"
"beater (laundry)"	"taHadaft"
"beauty"	"tiHli; zzin"
"because"	"ašku"
"bed"	"lbayas; lfraš"
"bedbugs"	"igurdan; iwurdan"
"bee"	"tizwit"
"beef"	"aعjli"
"bees"	"tizizwa; tizwa"
"beet"	"Lbarba"
"beetle"	"Abxxuš"
"beets"	"Lbarba"
"before"	"dat; qbl"
"before (time)"	"Ql"
"beggar"	"ddriwš; inmmtri; lmskin; mskin"
"begging"	"Tutra"
"beginning"	"tizwuri; tzwari"
"behind"	"Dart"
"bell"	"nnaqus; srsar"
"belly"	"Axdil"
"belly button"	"tabuţ; tiamعrt"
"below"	"daw"
"belt"	"lHazm; tassmrt; ssmţa**"
"benefit"	"Nnfع"
"berber man"	"Amaziġ"
"berber woman"	"Tamazight"
"between"	"Gr"
"between...and..."	"gr...d..."
"Bible"	"l-injil"
"bicycle"	"bišklit; biškalt; bškirid; vititi"
"bidon"	"Tibrmit"
"bile"	"iz'i"
"bill"	"lHsab"
"binoculars"	"lmri n lhint"
"bird"	"agdid; ajdid"
"birds"	"igdad; ijdad"
"birth"	"Tarwa"
"birth certificates"	"Lizikstri"
"birth control pills"	"lfanid; lfanid n tarwa"
"birthday"	".عid lmilad"
"black (adj)"	"abašan; abxuš; ungal; uniyal"
"blackboard"	"Ssbbura"
"blacksmith"	"Amzil"
"bladder"	"nbula; tanbult"
"blanket"	"lkša; lkwaš; lmlaya"
"blanket, bread"	"zzif n uġrum; tamndilt"
"blanket, woven"	"aHdum"
"bleach"	"Javil"
"blender"	"ţHHana"
"blind (adj)"	"adrġal"
"blister (n)"	"tilfxt"
"blond"	"ašhabun; azrwal"
"blood"	"idamn"
"blood vessel"	"azġur"
"blood vessels"	"izġuran"
"blue (adj)"	"ajnjari; azarqi"
"blue sky"	"asmawi"
"board (wood)"	"talblanšt"
"boat"	"talflukt"
"body"	"şşaHt"
"boil (n)"	"taHbubt; taqayt"
"bolt (lock)"	"şşaqta"
"bolt, metal, sliding (for locking doors)"	"zzkrum"
"bomb"	"lmint; lqanbula**"
"bomb powder*"	"lbarud"
"bone"	"akajmuj; akjij; akzui; aqjbab; iġşş"
"bones"	"iġşan; iukzay; ixsan;"
"boogieman"	"xuš"
"boogiewoman"	"tarir"
"book"	"lštab; lktab"
"boots"	"butyu"
"borders"	"imaran; lHudud"
"both"	"ssin/ssnat"
"bottle"	"taqrعiyt; lqra"
"bottom"	"abud"
"bottom (of)"	"izdar (n); tabut (n); abud (n)"
"boulder"	"aġulid"
"boundary"	"tigit"
"bowl"	"taHwart; tamtliyt; tazlft"
"bowl (low, flat, for couscous)"	"tazlaft"
"bowls"	"tiHwarin"
"box"	"lbakit; lbakiya"
"box, big"	"lkarţtun"
"box, small, metal (for sugar)"	"tarrbiعt"
"box, wooden"	"şşnduq"
"boy"	"arba; arva"
"boys"	"ifrgasn; lqum; iširan"
"bra"	"sutyanat"
"brace (for mud form)"	"lqilb n wuţţub"
"bracelet"	"azbi; azvi; tazvit;"
"Unnamed: 0"	"dblij**"
"bracelets"	"Izbyan"
"brag (n)"	"sHam"
"braid"	"Aqaroi"
"brain"	"allġf; dmaġ; lعql; anli"
"bran (for animals)"	"Ilamn"
"branch, tree"	"izli; tistuin"
"bravery"	"Tiعzzit"
"brazier"	"lkanun; lmjmr"
"bread"	"Aġrum"
"bread, piece"	"avrruy n uġrum"
"bread, plain"	"Tifizwit"
"bread, plate for making"	"Tišint"
"bread, very fat, baked under ashes"	"Abadir"
"break (n) (fracture)"	"Tirzi"
"breakfast"	"lfdur; lftur"
"breast"	"bbuš; if"
"breasts"	"abbušn; ifan; lbzulat**"
"breath (n)"	"Unfus"
"breeze"	"rrwaH"
"breeze in house"	"Lhawa"
"bribe (n)"	"r-ršwa"
"brick, mud"	"Uţţub"
"bride"	"Tislit"
"bridge"	"azqur; lqndrt; tilguit"
"bridle (for mule)"	"aljamu n usrdun; aryamu n asrdun"
"brochette racks"	"Ššwaya"
"brochette sticks"	"id sfud"
"brochettes"	"tašwitin; tišbbiyin; titliwin"
"bronze"	"nHas"
"broom"	"Tašţţabt"
"broom, made from scrubbrush"	"Ifsi"
"brother"	"igma; uima"
"brother-in-law"	"argaz n utma"
"brothers"	"Aytma"
"brown"	"Aqahwi"
"brush"	"lmšta; ššita"
