English	Infinitive	Present continuous	1st person past
to absorb	su	ssa	swiġ
to accept	qbl	tqbal	qblġ
to accept	qvl	tqval	qvlġ
to accompany	mun* d	tmun d	manġ d
to accuse	gr lbaţl xf	ggar lbaţl xf	griġ lbaţl xf
to accustom	walf	twalaf	walfġ
to ache, something	nġ	nqqa	inġay-i (reflexive)
to acknowledge	.عtarf	tعtaraf	.عtarfġ
to adapt	walf	twalaf	walfġ
to add	zayd	tzayad	zaydġ
to adopt	rbba	trbba	rbbaġ
to advance	zwur	zggur	zwarġ
to advise	nşH	tnşaH	nşHġ
to age	wsir	twsir	wsirġ
to agree	qbl	tqbal	qblġ
to agree	tafq	tafaq	tafqġ
to aid	.عawn	tعawan	.عawnġ
to allow	adj	tadja	udjiġ
to amuse	sţs	sţsa	stsiġ
to annoy	brzt	tbrzat	brztġ
to annoy	sddع	tsddaع	sddعġ
to annoy	šwwš	tšwwaš	šwšġ
to answer	jawb	tjawab	jawbġ
to answer	wajb	twajab	wajbġ
to appear	ďhr	tďhar	ďhrġ
to applaud	şffq	tşffaq	şffqġ
to applaud	ut rršš	kkat rršš	wtġ rršš
to applaud	wt abqqa	kkat abqqa	wtġ abqqa
to apply for	ttr	t'ttr	ttrġ
to approve	qbl	tqbal	qblġ
to argue	zi	tzi	ziġ
to arrange a marriage	stahl	stahal	stahlġ
to arrest	amz	tamz	umzġ
to arrest	ţţf	t'ţţf	ţţfġ
to arrive	awď	tawď	iwďġ
to arrive	gulu	tgulu	gulaġ
to ascend	ali	tali	uliġ
to ask	sqsa	sqsa	sqsaġ
to ask (in marriage)	ttr	t'ttr	ttrġ
to assemble (parts)	smun	smun	smanġ
to assist somone giving birth	ssirw	ssiriw	ssuruġ
to associate with	ssur	tssur	ssarġ
to attack	tعdda xf	tعdda xf	tعddaġ xf
to attempt	arm	tarm	urmġ
to attend	Hiďr	tHiďir	Hadrġ
to auction	dll'l	tdllal	dll'lġ
to avoid	.عrq	tعraq	.عrqġ
to avoid	k ţţrf	tkka ţţrf	kiġ ́ţtrf
to bake	ssnu	ssnwa	ssnwiġ
to bargain	šţţr	tšţţar	šţţrġ
to bark	aġ	taġ	yaġ (for dog)
to bark	shub	shubu	---
to bathe	.عum	tعum	.عumġ
to bathe	ssird	ssirid	ssurdġ/ssirdġ
to be (description)	g	tgga	giġ
to be (in a location)	ili	tili	lliġ
to be a lot	.عtu	.عttu	.عtiġ
to be able	iġiy	tiġiy	ġiyġ
to be abundant	xyyr	txyyar	xuyyrġ
to be afraid	ggd	tggd	ggdġ
to be aglow	aġ	ttaġ	aġġ
to be alive	.عiš	tعiš	.عišġ
to be alive	ddr	tddr	ddrġ
to be angry	qllq	tqllaq	qllqġ
to be angry*	zعf	tzعaf	zعfġ
to be anxious	Hyyr	tHyyar	Hyyrġ
to be ashamed	Haššm	tHššam	Hššmġ
to be bad	xxu	txxu	xxiġ
to be beautiful	Hlu	tHlu	Hliġ
to be beautiful	ţrrf	t'ţrraf	ţrrfġ
to be bent	šnu	šnnu	kniġ
to be big	xitr	txitir	xatrġ
to be bitter	Hrru	tHrru	Hrriġ
to be bitter	rzag	trzig	rzagġ
to be bland	msis	tmsis	mssusġ
to be boiled	blbţ	tblbuţ	blbţġ
to be boiled	nu	nggua	nwiġ
to be boiled	rkm	rkkm	rkmġ
to be born	lal	tlala	luliġ
